Time,Altitude,X_Moment,Attack_Angle,Trajectory_Angle,Center_of_Mass,Dynamic_Pressure,Mass,Stability_Margin,Thrust,Longitude,Velocity,Wind_Velocity,G_Force,YZ_Moment,Static_Moment,Engine_Angle,Pitch_Angle,Focus,Control_Thrust,Drug_Coefficient,Rocket_Length,Lift_Force
0.1,0,2.15588e+06,0,90.0066,33.1971,0,513000,28.4766,8.5553e+06,0,0.343518,1.97626e-323,1.70058,9.38483e+07,1.70301e+07,0,84.2766,5.89419,N/A,N/A,N/A,0
0.2,3.43518e-05,2.15479e+06,0,90.0066,33.1989,0.0722776,512741,27.3047,8.5553e+06,1.05168e-21,1.03097,1.97626e-323,1.70144,9.38267e+07,1.70224e+07,0,84.2766,5.93056,N/A,N/A,N/A,0.276732
0.3,0.000137449,2.1537e+06,0,90.0066,33.2007,0.651028,512481,27.2701,8.5553e+06,1.67058e-20,1.71927,1.97626e-323,1.7023,9.3805e+07,1.70147e+07,0,84.2766,5.93056,N/A,N/A,N/A,2.49262
0.4,0.000309377,2.15261e+06,0,90.0066,33.2025,1.81046,512222,27.2719,8.5553e+06,7.47474e-20,2.40842,1.97626e-323,1.70316,9.37834e+07,1.70071e+07,0,84.2766,5.93056,N/A,N/A,N/A,6.93178
0.5,0.000550218,2.15152e+06,0,90.0066,33.2043,3.55266,511963,27.2737,8.5553e+06,2.05776e-19,3.0984,1.97626e-323,1.70403,9.37618e+07,1.69994e+07,0,84.2766,5.93056,N/A,N/A,N/A,13.6022
0.6,0.000860059,2.15043e+06,0,90.0066,33.206,5.87969,511704,27.2755,8.5553e+06,4.40449e-19,3.78924,1.97626e-323,1.70489,9.37403e+07,1.69917e+07,0,84.2766,5.93056,N/A,N/A,N/A,22.5118
0.7,0.00123898,2.14935e+06,0,90.0066,33.2078,8.79357,511444,27.2773,8.5553e+06,8.09477e-19,4.48091,1.97626e-323,1.70575,9.37187e+07,1.6984e+07,0,84.2766,5.93056,N/A,N/A,N/A,33.6683
0.8,0.00168707,2.14826e+06,0,90.0066,33.2096,12.2964,511185,27.279,8.5553e+06,1.34363e-18,5.17344,1.97626e-323,1.70662,9.36972e+07,1.69762e+07,0,84.2766,5.93056,N/A,N/A,N/A,47.0797
0.9,0.00220442,2.14717e+06,0,90.0066,33.2113,16.3902,510926,27.2808,8.5553e+06,2.07373e-18,5.8668,1.97626e-323,1.70748,9.36757e+07,1.69685e+07,0,84.2766,5.93056,N/A,N/A,N/A,62.7538
1,0.0027911,2.14608e+06,0,90.0066,33.2131,21.0769,510667,27.2825,8.5553e+06,3.03067e-18,6.56102,1.97626e-323,1.70835,9.36543e+07,1.69608e+07,0,84.2766,5.93056,N/A,N/A,N/A,80.6981
1.1,0.0034472,2.14499e+06,0,90.0066,33.2148,26.3586,510407,27.2843,8.5553e+06,4.24537e-18,7.25608,1.97626e-323,1.70922,9.36328e+07,1.69531e+07,0,84.2766,5.93056,N/A,N/A,N/A,100.92
1.2,0.00417281,2.1439e+06,0,90.0066,33.2166,32.2372,510148,27.286,8.5553e+06,5.74883e-18,7.95199,1.97626e-323,1.71009,9.36114e+07,1.69454e+07,0,84.2766,5.93056,N/A,N/A,N/A,123.428
1.3,0.00496801,2.14281e+06,0,90.0066,33.2183,38.7145,509889,27.2878,8.5553e+06,7.57211e-18,8.64874,1.97626e-323,1.71096,9.35901e+07,1.69377e+07,0,84.2766,5.93056,N/A,N/A,N/A,148.228
1.4,0.00583288,2.14172e+06,0,90.0066,33.2201,45.7926,509630,27.2895,8.5553e+06,9.74631e-18,9.34635,1.97626e-323,1.71183,9.35687e+07,1.69299e+07,0,84.2766,5.93056,N/A,N/A,N/A,175.328
1.5,0.00676752,2.14063e+06,0,90.0066,33.2218,53.4733,509370,27.2912,8.5553e+06,1.23026e-17,10.0448,1.97626e-323,1.7127,9.35474e+07,1.69222e+07,0,84.2766,5.93056,N/A,N/A,N/A,204.735
1.6,0.007772,2.13954e+06,0,90.0066,33.2235,61.7585,509111,27.293,8.5553e+06,1.52722e-17,10.7441,1.97626e-323,1.71357,9.35261e+07,1.69145e+07,0,84.2766,5.93056,N/A,N/A,N/A,236.457
1.7,0.00884641,2.13845e+06,0,90.0066,33.2253,70.65,508852,27.2947,8.5553e+06,1.86864e-17,11.4443,1.97626e-323,1.71445,9.35048e+07,1.69067e+07,0,84.2766,5.93056,N/A,N/A,N/A,270.5
1.8,0.00999083,2.13736e+06,0,90.0066,33.227,80.1497,508593,27.2964,8.5553e+06,2.25765e-17,12.1453,1.97626e-323,1.71532,9.34836e+07,1.6899e+07,0,84.2766,5.93056,N/A,N/A,N/A,306.872
1.9,0.0112054,2.13627e+06,0,90.0066,33.2287,90.2594,508333,27.2981,8.5553e+06,2.69739e-17,12.8471,1.97626e-323,1.7162,9.34624e+07,1.68913e+07,0,84.2766,5.93056,N/A,N/A,N/A,345.58
2,0.0124901,2.13518e+06,0,90.0066,33.2304,100.981,508074,27.2998,8.5553e+06,3.191e-17,13.5498,1.97626e-323,1.71707,9.34412e+07,1.68835e+07,0,84.2766,5.93056,N/A,N/A,N/A,386.629
2.1,0.013845,2.13409e+06,0,90.0066,33.2321,112.316,507815,27.3015,8.5553e+06,3.74164e-17,14.2534,1.97626e-323,1.71795,9.342e+07,1.68758e+07,0,84.2766,5.93056,N/A,N/A,N/A,430.028
