Time,Altitude,X_Moment,Attack_Angle,Trajectory_Angle,Center_of_Mass,Dynamic_Pressure,Mass,Stability_Margin,Thrust,Longitude,Velocity,Wind_Velocity,G_Force,YZ_Moment,Static_Moment,Engine_Angle,Pitch_Angle,Focus,Control_Thrust,Drug_Coefficient,Rocket_Length,Lift_Force
0.1,0.001,N/A,0,90.0066,33.1971,0,513000,30.3029,8.5553e+06,0,0.343518,6.47582e-318,1.70058,9.38483e+07,N/A,N/A,N/A,N/A,4.27765e+06,6.95208e-310,63.5,0
0.2,0.00103435,N/A,0,90.0066,33.1989,0.0722691,512741,30.3011,8.5553e+06,1.05168e-21,1.03097,6.47582e-318,1.70144,9.38267e+07,N/A,N/A,N/A,N/A,4.27765e+06,6.95208e-310,63.5,0.276699
0.3,0.00113745,N/A,0,90.0066,33.2007,0.650952,512481,30.2993,8.5553e+06,1.67058e-20,1.71927,6.47582e-318,1.7023,9.3805e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2.49232
0.4,0.00130938,N/A,0,90.0066,33.2025,1.81025,512222,30.2975,8.5553e+06,7.47474e-20,2.40842,6.47582e-318,1.70316,9.37834e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,6.93098
0.5,0.00155022,N/A,0,90.0066,33.2043,3.55227,511963,30.2957,8.5553e+06,2.05776e-19,3.09841,6.47582e-318,1.70403,9.37618e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,13.6007
0.6,0.00186006,N/A,0,90.0066,33.206,5.87907,511704,30.294,8.5553e+06,4.40449e-19,3.78924,6.47582e-318,1.70489,9.37403e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,22.5094
0.7,0.00223898,N/A,0,90.0066,33.2078,8.79271,511444,30.2922,8.5553e+06,8.09478e-19,4.48092,6.47582e-318,1.70575,9.37187e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,33.665
0.8,0.00268707,N/A,0,90.0066,33.2096,12.2952,511185,30.2904,8.5553e+06,1.34363e-18,5.17344,6.47582e-318,1.70662,9.36972e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,47.0752
0.9,0.00320442,N/A,0,90.0066,33.2113,16.3886,510926,30.2887,8.5553e+06,2.07373e-18,5.86681,6.47582e-318,1.70749,9.36757e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,62.7478
1,0.0037911,N/A,0,90.0066,33.2131,21.0749,510667,30.2869,8.5553e+06,3.03067e-18,6.56102,6.47582e-318,1.70835,9.36543e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,80.6904
1.1,0.0044472,N/A,0,90.0066,33.2148,26.3561,510407,30.2852,8.5553e+06,4.24537e-18,7.25608,6.47582e-318,1.70922,9.36328e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,100.911
1.2,0.00517281,N/A,0,90.0066,33.2166,32.2341,510148,30.2834,8.5553e+06,5.74884e-18,7.95199,6.47582e-318,1.71009,9.36114e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,123.416
1.3,0.00596801,N/A,0,90.0066,33.2183,38.7108,509889,30.2817,8.5553e+06,7.57212e-18,8.64875,6.47582e-318,1.71096,9.35901e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,148.214
1.4,0.00683288,N/A,0,90.0066,33.2201,45.7882,509630,30.2799,8.5553e+06,9.74632e-18,9.34635,6.47582e-318,1.71183,9.35687e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,175.311
1.5,0.00776752,N/A,0,90.0066,33.2218,53.4682,509370,30.2782,8.5553e+06,1.23026e-17,10.0448,6.47582e-318,1.7127,9.35474e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,204.716
1.6,0.008772,N/A,0,90.0066,33.2235,61.7526,509111,30.2765,8.5553e+06,1.52722e-17,10.7441,6.47582e-318,1.71357,9.35261e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,236.435
1.7,0.00984641,N/A,0,90.0066,33.2253,70.6433,508852,30.2747,8.5553e+06,1.86864e-17,11.4443,6.47582e-318,1.71445,9.35048e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,270.475
1.8,0.0109908,N/A,0,90.0066,33.227,80.1421,508593,30.273,8.5553e+06,2.25765e-17,12.1453,6.47582e-318,1.71532,9.34836e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,306.843
1.9,0.0122054,N/A,0,90.0066,33.2287,90.2508,508333,30.2713,8.5553e+06,2.69739e-17,12.8471,6.47582e-318,1.7162,9.34624e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,345.547
2,0.0134901,N/A,0,90.0066,33.2304,100.971,508074,30.2696,8.5553e+06,3.191e-17,13.5498,6.47582e-318,1.71707,9.34412e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,386.593
2.1,0.0148451,N/A,0,90.0066,33.2321,112.305,507815,30.2679,8.5553e+06,3.74164e-17,14.2534,6.47582e-318,1.71795,9.342e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,429.987
2.2,0.0162704,N/A,0,90.0066,33.2338,124.254,507556,30.2662,8.5553e+06,4.35247e-17,14.9578,6.47582e-318,1.71883,9.33989e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,475.737
2.3,0.0177662,N/A,0,90.0066,33.2355,136.82,507296,30.2645,8.5553e+06,5.02663e-17,15.663,6.47582e-318,1.71971,9.33778e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,523.849
2.4,0.0193325,N/A,0,90.0066,33.2372,150.005,507037,30.2628,8.5553e+06,5.76731e-17,16.3691,6.47582e-318,1.72059,9.33567e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,574.33
2.5,0.0209694,N/A,0,90.0066,33.2389,163.81,506778,30.2611,8.5553e+06,6.57767e-17,17.0761,6.47582e-318,1.72147,9.33356e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,627.186
2.6,0.022677,N/A,0,90.0066,33.2405,178.237,506519,30.2595,8.5553e+06,7.4609e-17,17.7839,6.47582e-318,1.72235,9.33146e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,682.423
2.7,0.0244554,N/A,0,90.0066,33.2422,193.288,506259,30.2578,8.5553e+06,8.42017e-17,18.4926,6.47582e-318,1.72324,9.32936e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,740.047
2.8,0.0263046,N/A,0,90.0066,33.2439,208.963,506000,30.2561,8.5553e+06,9.45868e-17,19.2021,6.47582e-318,1.72412,9.32726e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,800.066
2.9,0.0282249,N/A,0,90.0066,33.2455,225.266,505741,30.2545,8.5553e+06,1.05796e-16,19.9125,6.47582e-318,1.725,9.32517e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,862.483
3,0.0302161,N/A,0,90.0066,33.2472,242.197,505482,30.2528,8.5553e+06,1.17862e-16,20.6237,6.47582e-318,1.72589,9.32307e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,927.307
3.1,0.0322785,N/A,0,90.0066,33.2489,259.757,505222,30.2511,8.5553e+06,1.30816e-16,21.3358,6.47582e-318,1.72678,9.32098e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,994.542
3.2,0.034412,N/A,0,90.0066,33.2505,277.949,504963,30.2495,8.5553e+06,1.44691e-16,22.0487,6.47582e-318,1.72766,9.31889e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1064.19
3.3,0.0366169,N/A,0,90.0066,33.2522,296.774,504704,30.2478,8.5553e+06,1.59519e-16,22.7625,6.47582e-318,1.72855,9.31681e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1136.27
3.4,0.0388932,N/A,0,90.0066,33.2538,316.233,504445,30.2462,8.5553e+06,1.75331e-16,23.4772,6.47582e-318,1.72944,9.31473e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1210.77
3.5,0.0412409,N/A,0,90.0066,33.2554,336.328,504185,30.2446,8.5553e+06,1.92161e-16,24.1927,6.47582e-318,1.73033,9.31265e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1287.71
3.6,0.0436602,N/A,0,90.0066,33.2571,357.06,503926,30.2429,8.5553e+06,2.10041e-16,24.9091,6.47582e-318,1.73122,9.31057e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1367.09
3.7,0.0461511,N/A,0,90.0066,33.2587,378.431,503667,30.2413,8.5553e+06,2.29002e-16,25.6263,6.47582e-318,1.73212,9.30849e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1448.91
3.8,0.0487137,N/A,0,90.0066,33.2603,400.441,503408,30.2397,8.5553e+06,2.49078e-16,26.3444,6.47582e-318,1.73301,9.30642e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1533.19
3.9,0.0513481,N/A,0,90.0066,33.2619,423.093,503148,30.2381,8.5553e+06,2.70302e-16,27.0633,6.47582e-318,1.7339,9.30435e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1619.91
4,0.0540545,N/A,0,90.0066,33.2635,446.387,502889,30.2365,8.5553e+06,2.92705e-16,27.7831,6.47582e-318,1.7348,9.30228e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1709.1
4.1,0.0568328,N/A,0,90.0066,33.2651,470.325,502630,30.2349,8.5553e+06,3.1632e-16,28.5038,6.47582e-318,1.7357,9.30022e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1800.75
4.2,0.0596832,N/A,0,90.0066,33.2667,494.909,502371,30.2333,8.5553e+06,3.4118e-16,29.2253,6.47582e-318,1.73659,9.29816e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1894.88
4.3,0.0626057,N/A,0,90.0066,33.2683,520.138,502111,30.2317,8.5553e+06,3.67318e-16,29.9477,6.47582e-318,1.73749,9.2961e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,1991.47
4.4,0.0656005,N/A,0,90.0066,33.2699,546.015,501852,30.2301,8.5553e+06,3.94767e-16,30.6709,6.47582e-318,1.73839,9.29404e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2090.55
4.5,0.0686675,N/A,0,90.0066,33.2715,572.541,501593,30.2285,8.5553e+06,4.23559e-16,31.395,6.47582e-318,1.73929,9.29198e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2192.11
4.6,0.071807,N/A,0,90.0066,33.2731,599.716,501334,30.2269,8.5553e+06,4.53728e-16,32.12,6.47582e-318,1.74019,9.28993e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2296.15
4.7,0.075019,N/A,0,90.0066,33.2746,627.542,501074,30.2254,8.5553e+06,4.85306e-16,32.8458,6.47582e-318,1.74109,9.28788e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2402.69
4.8,0.0783036,N/A,0,90.0066,33.2762,656.021,500815,30.2238,8.5553e+06,5.18326e-16,33.5725,6.47582e-318,1.742,9.28583e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2511.73
4.9,0.0816609,N/A,0,90.0066,33.2778,685.152,500556,30.2222,8.5553e+06,5.52822e-16,34.3001,6.47582e-318,1.7429,9.28379e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2623.27
5,0.0850909,N/A,0,90.0066,33.2793,714.938,500297,30.2207,8.5553e+06,5.88827e-16,35.0285,6.47582e-318,1.74381,9.28174e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2737.31
5.1,0.0885937,N/A,0,90.0066,33.2809,745.378,500037,30.2191,8.5553e+06,6.26374e-16,35.7578,6.47582e-318,1.74471,9.2797e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2853.86
5.2,0.0921695,N/A,0,90.0066,33.2824,776.475,499778,30.2176,8.5553e+06,6.65496e-16,36.4879,6.47582e-318,1.74562,9.27767e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,2972.92
5.3,0.0958183,N/A,0,90.0066,33.284,808.229,499519,30.216,8.5553e+06,7.06227e-16,37.2189,6.47582e-318,1.74653,9.27563e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,3094.5
5.4,0.0995402,N/A,0,90.0066,33.2855,840.641,499260,30.2145,8.5553e+06,7.48599e-16,37.9508,6.47582e-318,1.74744,9.2736e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,3218.59
5.5,0.103335,N/A,0,90.0066,33.287,873.712,499000,30.213,8.5553e+06,7.92647e-16,38.6835,6.47582e-318,1.74835,9.27157e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,3345.21
5.6,0.107204,N/A,0,90.0066,33.2886,907.442,498741,30.2114,8.5553e+06,8.38405e-16,39.4171,1.90345,1.74926,9.26954e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,3474.36
5.7,0.111145,N/A,0,90.0066,33.2901,941.833,498482,30.2099,8.5553e+06,8.85904e-16,40.1516,1.90745,1.75017,9.26751e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,3606.03
5.8,0.11516,N/A,0,90.0066,33.2916,976.886,498223,30.2084,8.5553e+06,9.3518e-16,40.8869,1.91152,1.75108,9.26549e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,3740.24
5.9,0.119249,N/A,0,90.0066,33.2931,1012.6,497963,30.2069,8.5553e+06,9.86266e-16,41.6231,1.91567,1.752,9.26347e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,3876.98
6,0.123411,N/A,0,90.0066,33.2946,1048.98,497704,30.2054,8.5553e+06,1.0392e-15,42.3602,1.9199,1.75291,9.26145e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,4016.26
6.1,0.127648,N/A,0,90.0066,33.2961,1086.02,497445,30.2039,8.5553e+06,1.094e-15,43.0981,1.92421,1.75383,9.25943e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,4158.08
6.2,0.131957,N/A,0,90.0066,33.2976,1123.72,497186,30.2024,8.5553e+06,1.15072e-15,43.8369,1.92858,1.75474,9.25742e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,4302.45
6.3,0.136341,N/A,0,90.0066,33.2991,1162.1,496926,30.2009,8.5553e+06,1.20938e-15,44.5766,1.93304,1.75566,9.25541e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,4449.36
6.4,0.140799,N/A,0,90.0066,33.3006,1201.13,496667,30.1994,8.5553e+06,1.27003e-15,45.3172,1.93757,1.75658,9.2534e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,4598.82
6.5,0.14533,N/A,0,90.0066,33.3021,1240.83,496408,30.1979,8.5553e+06,1.33268e-15,46.0586,1.94218,1.7575,9.25139e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,4750.83
6.6,0.149936,N/A,0,90.0066,33.3036,1281.2,496149,30.1964,8.5553e+06,1.39738e-15,46.8009,1.94687,1.75842,9.24939e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,4905.39
6.7,0.154616,N/A,0,90.0066,33.305,1322.24,495889,30.195,8.5553e+06,1.46417e-15,47.544,1.95163,1.75934,9.24739e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,5062.5
6.8,0.159371,N/A,0,90.0066,33.3065,1363.94,495630,30.1935,8.5553e+06,1.53307e-15,48.288,1.95647,1.76026,9.24539e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,5222.18
6.9,0.1642,N/A,0,90.0066,33.3079,1406.31,495371,30.1921,8.5553e+06,1.60412e-15,49.0329,1.96138,1.76119,9.24339e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,5384.41
7,0.169103,N/A,0,90.0066,33.3094,1449.36,495112,30.1906,8.5553e+06,1.67735e-15,49.7787,1.96638,1.76211,9.24139e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,5549.2
7.1,0.174081,N/A,0,90.0066,33.3108,1493.07,494852,30.1892,8.5553e+06,1.75281e-15,50.5253,1.97145,1.76304,9.2394e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,5716.55
7.2,0.179133,N/A,-0.00381567,90.0066,33.3123,1537.44,494593,30.1877,8.5553e+06,1.83051e-15,51.2728,1.97659,1.76397,9.23741e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,5886.47
7.3,0.184261,N/A,-0.021923,90.0061,33.3137,1582.49,494334,30.1863,8.5553e+06,2.89959e-09,52.0212,1.98182,1.76489,9.23542e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,6058.95
7.4,0.189463,N/A,-0.0540536,90.0049,33.3152,1628.21,494075,30.1848,8.5553e+06,2.84105e-08,52.7705,1.98712,1.76582,9.23344e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,6234
7.5,0.19474,N/A,-0.0992138,90.0023,33.3166,1674.6,493815,30.1834,8.5553e+06,1.32436e-07,53.5206,1.9925,1.76675,9.23145e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,6411.61
7.6,0.200092,N/A,-0.15639,89.9981,33.318,1721.66,493556,30.182,8.5553e+06,4.15222e-07,54.2716,1.99795,1.76768,9.22947e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,6591.79
7.7,0.205519,N/A,-0.224563,89.9919,33.3194,1769.39,493297,30.1806,8.5553e+06,1.02032e-06,55.0235,2.00348,1.76862,9.22749e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,6774.54
7.8,0.211021,N/A,-0.302715,89.9833,33.3208,1817.79,493038,30.1792,8.5553e+06,2.1328e-06,55.7762,2.0091,1.76955,9.22552e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,6959.85
7.9,0.216599,N/A,-0.389842,89.9721,33.3222,1866.86,492778,30.1778,8.5553e+06,3.97741e-06,56.5298,2.01478,1.77048,9.22354e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,7147.73
8,0.222252,N/A,-0.484959,89.9581,33.3236,1916.61,492519,30.1764,8.5553e+06,6.81647e-06,57.2842,2.02055,1.77142,9.22157e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,7338.18
8.1,0.22798,N/A,-0.587109,89.9409,33.325,1967.02,492260,30.175,8.5553e+06,1.09478e-05,58.0396,2.0264,1.77235,9.2196e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,7531.19
8.2,0.233784,N/A,-0.695365,89.9206,33.3264,2018.1,492001,30.1736,8.5553e+06,1.67026e-05,58.7957,2.03232,1.77329,9.21763e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,7726.77
8.3,0.239664,N/A,-0.808839,89.8969,33.3278,2069.85,491741,30.1722,8.5553e+06,2.4443e-05,59.5527,2.03832,1.77423,9.21567e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,7924.9
8.4,0.245619,N/A,-0.926678,89.8697,33.3292,2122.27,491482,30.1708,8.5553e+06,3.45603e-05,60.3105,2.0444,1.77517,9.21371e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,8125.6
8.5,0.25165,N/A,-1.04808,89.8389,33.3306,2175.35,491223,30.1694,8.5553e+06,4.74723e-05,61.0691,2.05056,1.77611,9.21174e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,8328.84
8.6,0.257757,N/A,-1.17227,89.8044,33.3319,2229.1,490964,30.1681,8.5553e+06,6.36213e-05,61.8286,2.05679,1.77705,9.20979e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,8534.64
8.7,0.26394,N/A,-1.29853,89.7663,33.3333,2283.52,490704,30.1667,8.5553e+06,8.34723e-05,62.5888,2.0631,1.77799,9.20783e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,8742.99
8.8,0.270199,N/A,-1.42619,89.7244,33.3347,2338.6,490445,30.1653,8.5553e+06,0.00010751,63.3499,2.0695,1.77894,9.20588e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,8953.88
8.9,0.276534,N/A,-1.55462,89.6789,33.336,2394.34,490186,30.164,8.5553e+06,0.000136238,64.1117,2.07597,1.77988,9.20392e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,9167.32
9,0.282945,N/A,-1.68324,89.6296,33.3374,2450.75,489927,30.1626,8.5553e+06,0.000170175,64.8743,2.08252,1.78083,9.20197e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,9383.28
9.1,0.289432,N/A,-1.8115,89.5766,33.3387,2507.82,489667,30.1613,8.5553e+06,0.000209856,65.6376,2.08915,1.78177,9.20003e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,9601.78
9.2,0.295995,N/A,-1.9389,89.5201,33.34,2565.55,489408,30.16,8.5553e+06,0.000255828,66.4018,2.09585,1.78272,9.19808e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,9822.8
9.3,0.302635,N/A,-2.06501,89.4599,33.3414,2623.93,489149,30.1586,8.5553e+06,0.000308646,67.1667,2.10264,1.78367,9.19614e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,10046.3
9.4,0.309352,N/A,-2.18939,89.3963,33.3427,2682.98,488890,30.1573,8.5553e+06,0.000368879,67.9323,2.1095,1.78462,9.1942e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,10272.4
9.5,0.316145,N/A,-2.31168,89.3292,33.344,2742.68,488630,30.156,8.5553e+06,0.0004371,68.6987,2.11645,1.78557,9.19226e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,10501
9.6,0.323014,N/A,-2.43154,89.2587,33.3453,2803.03,488371,30.1547,8.5553e+06,0.00051389,69.4659,2.12347,1.78652,9.19032e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,10732.1
9.7,0.32996,N/A,-2.54868,89.185,33.3466,2864.04,488112,30.1534,8.5553e+06,0.000599835,70.2337,2.13057,1.78747,9.18839e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,10965.7
9.8,0.336983,N/A,-2.66282,89.1081,33.3479,2925.7,487853,30.1521,8.5553e+06,0.000695522,71.0024,2.13776,1.78843,9.18645e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,11201.7
9.9,0.344082,N/A,-2.77373,89.0281,33.3492,2988.01,487593,30.1508,8.5553e+06,0.000801544,71.7717,2.14502,1.78938,9.18452e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,11440.3
10,0.351258,N/A,-2.88122,88.9451,33.3505,3050.98,487334,30.1495,8.5553e+06,0.000918492,72.5418,2.15236,1.79034,9.1826e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,11681.4
10.1,0.358511,N/A,-2.98509,88.8593,33.3518,3114.59,487075,30.1482,8.5553e+06,0.00104696,73.3127,2.15978,1.79129,9.18067e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,11924.9
10.2,0.365841,N/A,-3.08522,88.7707,33.3531,3178.85,486816,30.1469,8.5553e+06,0.00118754,74.0843,2.16727,1.79225,9.17875e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,12171
10.3,0.373248,N/A,-3.18147,88.6795,33.3544,3243.76,486556,30.1456,8.5553e+06,0.00134082,74.8567,2.17485,1.79321,9.17682e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,12419.5
10.4,0.380731,N/A,-3.27374,88.5857,33.3556,3309.32,486297,30.1444,8.5553e+06,0.00150739,75.6298,2.18251,1.79417,9.1749e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,12670.5
10.5,0.388292,N/A,-3.36195,88.4895,33.3569,3375.53,486038,30.1431,8.5553e+06,0.00168784,76.4037,2.19025,1.79513,9.17299e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,12924
10.6,0.39593,N/A,-3.44605,88.3909,33.3581,3442.38,485779,30.1419,8.5553e+06,0.00188274,77.1783,2.19806,1.79609,9.17107e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,13180
10.7,0.403644,N/A,-3.526,88.2902,33.3594,3509.87,485519,30.1406,8.5553e+06,0.00209268,77.9538,2.20596,1.79706,9.16916e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,13438.4
10.8,0.411436,N/A,-3.60177,88.1873,33.3606,3578.01,485260,30.1394,8.5553e+06,0.00231821,78.73,2.21394,1.79802,9.16725e+07,N/A,N/A,N/A,N/A,4.27765e+06,2.8,63.5,13699.3
